Question Number,Type,Time,Correct
1,kebab-case,6603,Yes
2,camelCase,8122,Yes
3,kebab-case,6296,Yes
4,kebab-case,6517,Yes
5,camelCase,5728,Yes
6,kebab-case,8087,Yes
7,camelCase,6761,Yes
8,camelCase,5825,Yes
9,kebab-case,5085,Yes
10,kebab-case,4725,Yes
11,camelCase,5140,Yes
12,camelCase,5120,Yes
